semester	condition	square	lateSps	recLateSps	earlierSps	recEarlierSps	nonStbAlgae	stblAlgae	otherGroups	total
1	impacted	1	0.00000	0.00000	0.22532	0.00000	0.29517	0.29065	0.18886	1.00
1	impacted	2	0.00000	0.00000	0.12943	0.00000	0.26834	0.11730	0.48493	1.00
1	impacted	3	0.00000	0.00000	0.23208	0.00000	0.39932	0.26365	0.10495	1.00
1	impacted	4	0.00000	0.00000	0.16415	0.00031	0.61386	0.10231	0.11936	1.00
1	impacted	5	0.00613	0.00000	0.03652	0.00000	0.68288	0.08929	0.18519	1.00
1	impacted	6	0.00000	0.00000	0.00781	0.00000	0.28490	0.04961	0.65768	1.00
1	impacted	7	0.00000	0.00000	0.06966	0.00000	0.50322	0.15221	0.27491	1.00
1	impacted	8	0.00000	0.00000	0.04626	0.00000	0.63021	0.08088	0.24265	1.00
1	impacted	9	0.00000	0.00000	0.04524	0.00000	0.55526	0.18509	0.21441	1.00
1	impacted	10	0.00000	0.00000	0.08459	0.00000	0.73412	0.05148	0.12981	1.00
1	impacted	11	0.00000	0.00000	0.01178	0.00000	0.78044	0.07245	0.13533	1.00
1	impacted	12	0.00000	0.00000	0.03252	0.00000	0.72413	0.09234	0.15102	1.00
1	impacted	13	0.00079	0.00000	0.01938	0.00000	0.66649	0.07259	0.24076	1.00
1	impacted	15	0.00565	0.00000	0.10512	0.00000	0.60524	0.14519	0.13880	1.00
1	impacted	16	0.00283	0.00000	0.14303	0.00000	0.36666	0.29160	0.19588	1.00
1	impacted	21	0.00000	0.00000	0.01284	0.00000	0.48379	0.11288	0.39049	1.00
1	impacted	22	0.00000	0.00000	0.21300	0.00000	0.27202	0.13733	0.37766	1.00
1	impacted	23	0.00000	0.00000	0.12026	0.00031	0.39736	0.15296	0.32910	1.00
1	impacted	24	0.00000	0.00000	0.02477	0.00000	0.51617	0.08004	0.37902	1.00
1	impacted	25	0.00000	0.00000	0.02490	0.00000	0.45310	0.14644	0.37557	1.00
1	impacted	26	0.00318	0.00000	0.00459	0.00000	0.72332	0.11233	0.15658	1.00
1	impacted	27	0.01217	0.00000	0.01636	0.00000	0.40546	0.27733	0.28868	1.00
1	impacted	35	0.32235	0.00000	0.30742	0.00000	0.24730	0.02732	0.09561	1.00
1	impacted	36	0.26544	0.00000	0.32928	0.00000	0.30411	0.04000	0.06117	1.00
1	impacted	38	0.00196	0.00000	0.17174	0.00000	0.60109	0.13546	0.08974	1.00
1	impacted	40	0.00661	0.00000	0.20733	0.00000	0.56937	0.13748	0.07920	1.00
1	nonImpacted	43	0.00000	0.00000	0.28987	0.00000	0.50276	0.18350	0.02387	1.00
1	nonImpacted	44	0.35029	0.00000	0.12723	0.00000	0.34531	0.11962	0.05755	1.00
1	nonImpacted	45	0.17785	0.00000	0.09920	0.00181	0.41452	0.18597	0.12066	1.00
1	nonImpacted	46	0.05596	0.00000	0.14302	0.00000	0.71185	0.02972	0.05944	1.00
1	nonImpacted	47	0.37935	0.00000	0.23876	0.00000	0.27091	0.01310	0.09789	1.00
1	nonImpacted	48	0.00000	0.00000	0.09311	0.00000	0.47612	0.12243	0.30834	1.00
1	nonImpacted	49	0.06249	0.00000	0.14259	0.00000	0.59619	0.09937	0.09937	1.00
1	nonImpacted	59	0.00000	0.00000	0.08341	0.00000	0.61648	0.02994	0.27016	1.00
1	nonImpacted	60	0.00000	0.00000	0.10457	0.00000	0.53427	0.05255	0.30861	1.00
1	nonImpacted	63	0.04411	0.00000	0.05016	0.00000	0.69460	0.08262	0.12852	1.00
1	nonImpacted	64	0.00000	0.00000	0.11325	0.00000	0.56604	0.24386	0.07685	1.00
1	nonImpacted	65	0.16965	0.00000	0.42814	0.00000	0.27514	0.02625	0.10082	1.00
1	nonImpacted	66	0.02003	0.00000	0.49450	0.00025	0.34186	0.06701	0.07635	1.00
1	nonImpacted	67	0.00000	0.00000	0.07630	0.00000	0.21420	0.28794	0.42156	1.00
1	nonImpacted	68	0.02240	0.00000	0.29307	0.00000	0.30662	0.24264	0.13527	1.00
1	nonImpacted	74	0.25251	0.00000	0.09689	0.00000	0.60587	0.01917	0.02556	1.00
1	nonImpacted	77	0.12740	0.00000	0.00000	0.00000	0.72619	0.10542	0.04099	1.00
1	nonImpacted	78	0.00550	0.00000	0.09708	0.00000	0.71345	0.03590	0.14808	1.00
1	nonImpacted	79	0.00000	0.00000	0.09001	0.00000	0.66900	0.08483	0.15616	1.00
2	impacted	1	0.00000	0.00000	0.22777	0.00503	0.28540	0.35292	0.12889	1.00
2	impacted	6	0.00000	0.00000	0.00789	0.00000	0.39764	0.02982	0.56465	1.00
2	impacted	8	0.00000	0.00000	0.04571	0.00000	0.50577	0.22330	0.22521	1.00
2	impacted	9	0.00000	0.00000	0.08364	0.00283	0.56957	0.14979	0.19417	1.00
2	impacted	10	0.00000	0.00000	0.06888	0.00000	0.76020	0.01880	0.15213	1.00
2	impacted	11	0.00000	0.00000	0.00000	0.00063	0.82513	0.15822	0.01602	1.00
2	impacted	15	0.00000	0.00000	0.09684	0.00000	0.70788	0.12205	0.07323	1.00
2	impacted	17	0.00000	0.00000	0.39568	0.00126	0.29197	0.17901	0.13208	1.00
2	impacted	19	0.12606	0.00000	0.09205	0.00377	0.50339	0.10989	0.16484	1.00
2	impacted	20	0.00463	0.00000	0.13988	0.00157	0.48140	0.07259	0.29992	1.00
2	impacted	21	0.00267	0.00000	0.00887	0.00000	0.61930	0.13314	0.23602	1.00
2	impacted	22	0.00000	0.00000	0.15512	0.00000	0.44931	0.18074	0.21483	1.00
2	impacted	27	0.00000	0.00000	0.01162	0.00000	0.64244	0.33802	0.00791	1.00
2	impacted	30	0.00000	0.00000	0.00000	0.00000	0.72200	0.00000	0.27800	1.00
2	impacted	32	0.07226	0.00000	0.16440	0.00031	0.57609	0.13353	0.05341	1.00
2	impacted	35	0.21379	0.00000	0.32233	0.00000	0.26476	0.09051	0.10862	1.00
2	impacted	38	0.03754	0.00000	0.19823	0.00000	0.50392	0.19856	0.06174	1.00
2	impacted	39	0.00000	0.00000	0.61002	0.00000	0.22235	0.03492	0.13271	1.00
2	impacted	40	0.01225	0.00000	0.35948	0.00000	0.54744	0.06062	0.02021	1.00
2	nonImpacted	41	0.00000	0.00000	0.40240	0.00080	0.38951	0.12528	0.08200	1.00
2	nonImpacted	42	0.00134	0.00000	0.23622	0.00080	0.58950	0.07470	0.09744	1.00
2	nonImpacted	45	0.01139	0.00000	0.27537	0.00080	0.35201	0.17348	0.18695	1.00
2	nonImpacted	47	0.02937	0.00000	0.13377	0.00000	0.60188	0.00181	0.23316	1.00
2	nonImpacted	53	0.00247	0.00000	0.36923	0.00534	0.22292	0.32827	0.07176	1.00
2	nonImpacted	54	0.00000	0.00000	0.26609	0.00000	0.35388	0.20383	0.17619	1.00
2	nonImpacted	56	0.00000	0.00000	0.13755	0.00000	0.67001	0.02784	0.16460	1.00
2	nonImpacted	57	0.05898	0.00000	0.12959	0.00000	0.47545	0.21351	0.12246	1.00
2	nonImpacted	58	0.00000	0.00000	0.13715	0.00000	0.50395	0.17302	0.18588	1.00
2	nonImpacted	64	0.00063	0.00045	0.08386	0.00000	0.48073	0.38792	0.04640	1.00
2	nonImpacted	65	0.03526	0.00000	0.23774	0.00000	0.47413	0.19755	0.05531	1.00
2	nonImpacted	67	0.00000	0.00000	0.06409	0.00000	0.73097	0.16396	0.04099	1.00
2	nonImpacted	69	0.04705	0.00000	0.12087	0.00000	0.57886	0.18945	0.06378	1.00
2	nonImpacted	70	0.27929	0.00000	0.15854	0.00000	0.29523	0.11071	0.15623	1.00
2	nonImpacted	71	0.04265	0.00000	0.60295	0.00102	0.28687	0.04167	0.02484	1.00
2	nonImpacted	76	0.07037	0.00000	0.39977	0.00000	0.29282	0.09063	0.14641	1.00
2	nonImpacted	77	0.17326	0.00000	0.01390	0.00000	0.56899	0.15119	0.09266	1.00
2	nonImpacted	78	0.00079	0.00000	0.01182	0.00342	0.82654	0.08659	0.07085	1.00
2	nonImpacted	80	0.00063	0.00000	0.39733	0.00227	0.50962	0.00920	0.08095	1.00
3	impacted	1	0.00000	0.00000	0.13991	0.00000	0.38038	0.43110	0.04860	1.00
3	impacted	4	0.00000	0.00000	0.08815	0.00453	0.72402	0.03666	0.14664	1.00
3	impacted	7	0.00000	0.00000	0.08812	0.00363	0.71895	0.03442	0.15488	1.00
3	impacted	9	0.00000	0.00000	0.09912	0.00000	0.69031	0.13916	0.07141	1.00
3	impacted	10	0.00000	0.00000	0.04232	0.00000	0.60761	0.04638	0.30368	1.00
3	impacted	11	0.00000	0.00000	0.00679	0.00363	0.89062	0.08708	0.01187	1.00
3	impacted	14	0.00514	0.00000	0.08350	0.01279	0.87517	0.00000	0.02340	1.00
3	impacted	16	0.00000	0.00000	0.08742	0.00404	0.38467	0.37184	0.15203	1.00
3	impacted	17	0.00000	0.00000	0.16812	0.00000	0.52416	0.22688	0.08084	1.00
3	impacted	19	0.06762	0.00000	0.11182	0.00038	0.34333	0.11989	0.35695	1.00
3	impacted	21	0.00000	0.00000	0.00000	0.00608	0.88799	0.05409	0.05184	1.00
3	impacted	22	0.00000	0.00000	0.13582	0.00385	0.83036	0.00000	0.02997	1.00
3	impacted	23	0.00000	0.00000	0.10142	0.00000	0.78877	0.09700	0.01281	1.00
3	impacted	25	0.00188	0.00229	0.01374	0.00126	0.72763	0.04714	0.20606	1.00
3	impacted	26	0.00471	0.00000	0.00740	0.00000	0.87192	0.05798	0.05798	1.00
3	impacted	31	0.00157	0.00407	0.19909	0.00000	0.54245	0.10881	0.14401	1.00
3	impacted	32	0.09156	0.00196	0.09246	0.00000	0.69191	0.09854	0.02356	1.00
3	impacted	37	0.00974	0.00000	0.08552	0.00102	0.79543	0.08029	0.02801	1.00
3	impacted	40	0.03077	0.00000	0.26517	0.00518	0.55328	0.05630	0.08930	1.00
3	nonImpacted	41	0.00000	0.00000	0.30775	0.00000	0.36715	0.17791	0.14718	1.00
3	nonImpacted	46	0.04453	0.00000	0.03149	0.00000	0.81567	0.06723	0.04107	1.00
3	nonImpacted	47	0.00864	0.00000	0.12324	0.00000	0.73259	0.03297	0.10256	1.00
3	nonImpacted	49	0.06362	0.00000	0.09258	0.00363	0.71482	0.08131	0.04404	1.00
3	nonImpacted	50	0.00000	0.00000	0.17559	0.00031	0.47233	0.35177	0.00000	1.00
3	nonImpacted	52	0.00000	0.00000	0.40066	0.00071	0.50836	0.08710	0.00317	1.00
3	nonImpacted	53	0.07516	0.00000	0.88609	0.00000	0.01964	0.01729	0.00181	1.00
3	nonImpacted	55	0.00550	0.00000	0.20398	0.00000	0.65000	0.10804	0.03249	1.00
3	nonImpacted	56	0.00000	0.00000	0.20361	0.00000	0.41573	0.14203	0.23863	1.00
3	nonImpacted	57	0.02142	0.00000	0.05202	0.00000	0.78495	0.01163	0.12998	1.00
3	nonImpacted	63	0.01103	0.00000	0.04667	0.00212	0.68534	0.15444	0.10039	1.00
3	nonImpacted	64	0.00000	0.00045	0.05740	0.00000	0.46619	0.26528	0.21067	1.00
3	nonImpacted	68	0.06433	0.00000	0.18433	0.00000	0.54527	0.19148	0.01459	1.00
3	nonImpacted	69	0.03954	0.00000	0.10403	0.00302	0.63860	0.11913	0.09569	1.00
3	nonImpacted	70	0.02267	0.00000	0.12806	0.02345	0.61829	0.10161	0.10593	1.00
3	nonImpacted	72	0.00556	0.00000	0.06762	0.00000	0.90046	0.01420	0.01217	1.00
3	nonImpacted	74	0.20066	0.00000	0.06726	0.00000	0.63522	0.08196	0.01490	1.00
3	nonImpacted	75	0.01734	0.00000	0.07931	0.00342	0.63785	0.05473	0.20735	1.00
3	nonImpacted	76	0.03050	0.00000	0.15399	0.00000	0.47626	0.14598	0.19327	1.00
3	nonImpacted	77	0.14396	0.00000	0.01995	0.00000	0.43944	0.19421	0.20243	1.00
4	impacted	1	0.00000	0.00000	0.13113	0.00000	0.54440	0.30269	0.02178	1.00
4	impacted	2	0.00000	0.00000	0.14473	0.00335	0.47458	0.02498	0.35236	1.00
4	impacted	4	0.00000	0.00000	0.15353	0.00205	0.42907	0.04506	0.37029	1.00
4	impacted	5	0.00256	0.00000	0.05799	0.00212	0.71973	0.01883	0.19876	1.00
4	impacted	7	0.00000	0.00000	0.07674	0.00000	0.58410	0.16539	0.17376	1.00
4	impacted	11	0.00000	0.00000	0.00825	0.00000	0.72435	0.10975	0.15764	1.00
4	impacted	17	0.00000	0.00000	0.14258	0.00000	0.64919	0.06824	0.13999	1.00
4	impacted	18	0.02824	0.00000	0.21957	0.00000	0.47598	0.21714	0.05906	1.00
4	impacted	19	0.09331	0.00430	0.21889	0.00000	0.58980	0.03225	0.06144	1.00
4	impacted	20	0.00330	0.00000	0.11888	0.00000	0.41813	0.00519	0.45449	1.00
4	impacted	21	0.00000	0.00000	0.00339	0.00000	0.79318	0.00822	0.19521	1.00
4	impacted	22	0.00170	0.00000	0.12481	0.00000	0.45946	0.01398	0.40006	1.00
4	impacted	26	0.01024	0.00000	0.00743	0.00000	0.90178	0.00786	0.07269	1.00
4	impacted	27	0.00462	0.00000	0.01637	0.00000	0.31328	0.04699	0.61874	1.00
4	impacted	32	0.17834	0.00000	0.16293	0.00000	0.62842	0.01595	0.01435	1.00
4	impacted	33	0.00707	0.00000	0.17486	0.00503	0.76483	0.01972	0.02849	1.00
4	impacted	36	0.20648	0.00000	0.16331	0.00000	0.59739	0.00788	0.02495	1.00
4	impacted	40	0.05239	0.00000	0.19212	0.00000	0.64622	0.05464	0.05464	1.00
4	nonImpacted	43	0.00000	0.00000	0.08403	0.00000	0.75527	0.12626	0.03443	1.00
4	nonImpacted	44	0.26881	0.00000	0.03547	0.00000	0.62399	0.04447	0.02725	1.00
4	nonImpacted	46	0.03793	0.00000	0.04518	0.00000	0.75212	0.11594	0.04883	1.00
4	nonImpacted	48	0.00770	0.00000	0.06158	0.00113	0.71682	0.09089	0.12188	1.00
4	nonImpacted	49	0.07540	0.00000	0.18810	0.00363	0.70811	0.00000	0.02476	1.00
4	nonImpacted	51	0.00000	0.00000	0.07854	0.00000	0.64362	0.16590	0.11193	1.00
4	nonImpacted	52	0.00000	0.00000	0.15574	0.00592	0.79578	0.00426	0.03830	1.00
4	nonImpacted	53	0.00000	0.00000	0.32940	0.00503	0.31600	0.18772	0.16185	1.00
4	nonImpacted	57	0.00000	0.00000	0.06358	0.00302	0.70918	0.03434	0.18987	1.00
4	nonImpacted	59	0.00000	0.00000	0.11895	0.00000	0.81361	0.02682	0.04062	1.00
4	nonImpacted	63	0.00000	0.00000	0.14671	0.00000	0.73589	0.07709	0.04030	1.00
4	nonImpacted	64	0.00440	0.00000	0.11358	0.00000	0.61565	0.16229	0.10408	1.00
4	nonImpacted	65	0.11624	0.00000	0.36012	0.00152	0.41270	0.08087	0.02854	1.00
4	nonImpacted	68	0.14561	0.00000	0.26132	0.00000	0.51591	0.06808	0.00908	1.00
4	nonImpacted	71	0.01257	0.00000	0.15448	0.00000	0.66218	0.12547	0.04531	1.00
4	nonImpacted	74	0.20255	0.00000	0.07618	0.00000	0.66873	0.01818	0.03435	1.00
4	nonImpacted	77	0.21818	0.00000	0.03142	0.00000	0.69037	0.05103	0.00900	1.00
4	nonImpacted	78	0.00000	0.00000	0.08632	0.00000	0.81384	0.04521	0.05463	1.00
4	nonImpacted	79	0.00000	0.00000	0.13664	0.00068	0.58352	0.16029	0.11887	1.00
